itemName,itemUrl,specifications,price,imageUrl,rating
Asus ROG Strix G Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Gefo...,https://www.flipkart.com//asus-rog-strix-g-core-i5-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-g531gt-bq024t-gaming-laptop/p/itmfg9yrrazqt7dk?pid=COMFG9YREHZ9VBKH&lid=LSTCOMFG9YREHZ9VBKH8WVPW9&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=6939a9ae-b571-4f89-ae96-42186243a119.COMFG9YREHZ9VBKH.SEARCH&ssid=g76m2aglds0000001592381521182&qH=21cb4bef2f76b785,"['60 Hz Refresh Rate- It can display upto 60 frames per second.', 'Intel Core i5 Processor (9th Gen)', '8 GB DDR4 RAM', '64 bit Windows 10 Operating System', '1 TB HDD|256 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Limited International Hardware Warranty']","₹67,990",https://rukminim1.flixcart.com/image/312/312/k6b2snk0/computer/p/e/d/asus-na-gaming-laptop-original-imafggytk5twybmv.jpeg?q=70,4.6
Asus ROG Strix G Core i7 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,https://www.flipkart.com//asus-rog-strix-g-core-i7-9th-gen-16-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-g531gt-al018t-gaming-laptop/p/itmfg9yrvckujfmx?pid=COMFG9YRZSSA3CZF&lid=LSTCOMFG9YRZSSA3CZFHOAXNB&marketplace=FLIPKART&spotlightTagId=BestvalueId_search.flipkart.com&srno=s_1_2&otracker=search&otracker1=search&iid=6939a9ae-b571-4f89-ae96-42186243a119.COMFG9YRZSSA3CZF.SEARCH&ppt=sp&ppn=sp&ssid=jm16nh32a80000001592381521428&qH=21cb4bef2f76b785,"['120 Hz Refresh Rate- It can display upto 120 frames per second.', 'Intel Core i7 Processor (9th Gen)', '16 GB DDR4 RAM', '64 bit Windows 10 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Limited International Hardware Warranty']","₹81,990",https://rukminim1.flixcart.com/image/312/312/k6b2snk0/computer/p/e/d/asus-na-gaming-laptop-original-imafggytk5twybmv.jpeg?q=70,4.5
Asus ROG Strix G Core i7 9th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 16...,https://www.flipkart.com//asus-rog-strix-g-core-i7-9th-gen-16-gb-1-tb-ssd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-g531gt-al150t-gaming-laptop/p/itmfg9yrb6cwx37y?pid=COMFG9YRR3PHDGDC&lid=LSTCOMFG9YRR3PHDGDCRTBTRZ&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=6939a9ae-b571-4f89-ae96-42186243a119.COMFG9YRR3PHDGDC.SEARCH&ssid=g76m2aglds0000001592381521182&qH=21cb4bef2f76b785,"['120 Hz Refresh Rate- It can display upto 120 frames per second.', 'Intel Core i7 Processor (9th Gen)', '16 GB DDR4 RAM', '64 bit Windows 10 Operating System', '1 TB SSD', '39.62 cm (15.6 inch) Display', '1 Year Limited International Hardware Warranty']","₹92,990",https://rukminim1.flixcart.com/image/312/312/k6b2snk0/computer/p/e/d/asus-na-gaming-laptop-original-imafggytk5twybmv.jpeg?q=70,4.6
Asus ROG Strix Scar III Core i7 9th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce...,https://www.flipkart.com//asus-rog-strix-scar-iii-core-i7-9th-gen-16-gb-1-tb-ssd-windows-10-home-6-gb-graphics-nvidia-geforce-gtx-1660-ti-g531gu-es016t-gaming-laptop/p/itmfgpzm6q6zs4v6?pid=COMFGPZMTQTPD9ZH&lid=LSTCOMFGPZMTQTPD9ZHDGJ3CF&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=6939a9ae-b571-4f89-ae96-42186243a119.COMFGPZMTQTPD9ZH.SEARCH&ssid=g76m2aglds0000001592381521182&qH=21cb4bef2f76b785,"['Intel Core i7 Processor (9th Gen)', '16 GB DDR4 RAM', '64 bit Windows 10 Operating System', '1 TB SSD', '39.62 cm (15.6 inch) Display', '1 Year Onsite Warranty']","₹1,19,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.8
Asus ROG Zephyrus G Ryzen 7 Quad Core - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce...,https://www.flipkart.com//asus-rog-zephyrus-g-ryzen-7-quad-core-16-gb-512-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-gtx-1660-ti-max-q-ga502du-al025t-gaming-laptop/p/itmfhny8fj2utkcq?pid=COMFHNY8WQEKSGJ6&lid=LSTCOMFHNY8WQEKSGJ69Y32SY&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=6939a9ae-b571-4f89-ae96-42186243a119.COMFHNY8WQEKSGJ6.SEARCH&ssid=g76m2aglds0000001592381521182&qH=21cb4bef2f76b785,"['120 Hz Refresh Rate- It can display upto 120 frames per second.', 'AMD Ryzen 7 Quad Core Processor', '16 GB DDR4 RAM', '64 bit Windows 10 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Limited International Hardware Warranty']","₹79,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.5
Asus ROG Strix G Core i7 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Gefo...,https://www.flipkart.com//asus-rog-strix-g-core-i7-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-g531gt-al030t-gaming-laptop/p/itmfg9yrxqepkhjh?pid=COMFG9YR8TJNXPED&lid=LSTCOMFG9YR8TJNXPEDDDMUPH&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=6939a9ae-b571-4f89-ae96-42186243a119.COMFG9YR8TJNXPED.SEARCH&ssid=g76m2aglds0000001592381521182&qH=21cb4bef2f76b785,"['120 Hz Refresh Rate- It can display upto 120 frames per second.', 'Intel Core i7 Processor (9th Gen)', '8 GB DDR4 RAM', '64 bit Windows 10 Operating System', '1 TB HDD|256 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Limited International Hardware Warranty']","₹81,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.6
Asus ROG Strix G Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,https://www.flipkart.com//asus-rog-strix-g-core-i7-9th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-g531gt-al017t-gaming-laptop/p/itmfg9ysrxunvedc?pid=COMFG9YRVU3HJG58&lid=LSTCOMFG9YRVU3HJG58GRUBQC&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=6939a9ae-b571-4f89-ae96-42186243a119.COMFG9YRVU3HJG58.SEARCH&ssid=g76m2aglds0000001592381521182&qH=21cb4bef2f76b785,"['120 Hz Refresh Rate- It can display upto 120 frames per second.', 'Intel Core i7 Processor (9th Gen)', '8 GB DDR4 RAM', '64 bit Windows 10 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Limited International Hardware Warranty']","₹79,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.6
"Asus ROG (Black, 128 GB)",https://www.flipkart.com//asus-rog-black-128-gb/p/itmfb24ekx6ygptv?pid=MOBFB24EEZCFUBRS&lid=LSTMOBFB24EEZCFUBRSQ0BOUF&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=6939a9ae-b571-4f89-ae96-42186243a119.MOBFB24EEZCFUBRS.SEARCH&ssid=g76m2aglds0000001592381521182&qH=21cb4bef2f76b785,"['8 GB RAM | 128 GB ROM', '15.24 cm (6 inch) Full HD+ Display', '12MP + 8MP | 8MP Front Camera', '4000 mAh Battery', 'Qualcomm Speed-binned Snapdragon 845 Processor', 'Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories']","₹69,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.3
Asus Ryzen 5 (3600X) (8 GB RAM/1 TB SSD Capacity/Windows 10 (64-bit)/6 GB Graphics Memory) Gaming Towe...,https://www.flipkart.com//asus-ryzen-5-3600x-8-gb-ram-1-tb-ssd-capacity-windows-10-64-bit-6-graphics-memory-gaming-tower/p/itm369b414b4cc68?pid=CPUFS5WGDFYKETWK&lid=LSTCPUFS5WGDFYKETWKERQNMY&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=6939a9ae-b571-4f89-ae96-42186243a119.CPUFS5WGDFYKETWK.SEARCH&ssid=g76m2aglds0000001592381521182&qH=21cb4bef2f76b785,"['Processor Type: AMD 3.8 GHz', '6 GB NVIDIA GeForce GTX 1660 Graphics', 'Hexa Core Gaming Tower', '8 GB DDR4 RAM', 'Hard Disk Capacity: 0 TB', 'SSD Capacity: 1 TB', '3 Years Onsite Warranty']","₹92,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Asus ROG Strix Hero III Core i7 9th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVI...,https://www.flipkart.com//asus-rog-strix-hero-iii-core-i7-9th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-gtx-1660-ti-g531gu-es133t-gaming-laptop/p/itmfg9yrjnmqeh4f?pid=COMFG9YRWYGHDSGS&lid=LSTCOMFG9YRWYGHDSGSHM8TKX&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=6939a9ae-b571-4f89-ae96-42186243a119.COMFG9YRWYGHDSGS.SEARCH&ssid=g76m2aglds0000001592381521182&qH=21cb4bef2f76b785,"['Intel Core i7 Processor (9th Gen)', '16 GB DDR4 RAM', '64 bit Windows 10 Operating System', '1 TB HDD|256 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Onsite Warranty']","₹1,39,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.8
Asus ROG Strix G Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,https://www.flipkart.com//asus-rog-strix-g-core-i5-9th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-g731gt-h7160t-gaming-laptop/p/itmff95b80a492bf?pid=COMFZRMX9SGUKWKF&lid=LSTCOMFZRMX9SGUKWKFABABG3&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=6939a9ae-b571-4f89-ae96-42186243a119.COMFZRMX9SGUKWKF.SEARCH&ssid=g76m2aglds0000001592381521182&qH=21cb4bef2f76b785,"['Intel Core i5 Processor (9th Gen)', '8 GB DDR4 RAM', '64 bit Windows 10 Operating System', '512 GB SSD', '43.94 cm (17.3 inch) Display', '1 Year Onsite Warranty']","₹79,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Asus ROG Core i7 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1050) GL553...,https://www.flipkart.com//asus-rog-core-i7-7th-gen-8-gb-1-tb-hdd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1050-gl553vd-fy103t-gaming-laptop/p/itmf3s32x2mnzrvr?pid=COMES3W3QHKAZCQ6&lid=LSTCOMES3W3QHKAZCQ6EMHSLO&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=6939a9ae-b571-4f89-ae96-42186243a119.COMES3W3QHKAZCQ6.SEARCH&ssid=g76m2aglds0000001592381521182&qH=21cb4bef2f76b785,"['2.8 GHz with Turbo Boost Upto 3.8 GHz Clock Speed', 'Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)', 'NVIDIA Geforce GTX 1050 for Desktop Level Performance', 'Full HD LED Backlit Ultra Slim 300-nits Anti-glare Display', 'Intel Core i7 Processor (7th Gen)', '8 GB DDR4 RAM', '64 bit Windows 10 Operating System', '1 TB HDD', '39.62 cm (15.6 inch) Display', '2 Years Onsite Warranty']","₹1,07,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.3
Asus ROG Strix Edition Core i7 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDI...,https://www.flipkart.com//asus-rog-strix-core-i7-7th-gen-8-gb-1-tb-hdd-128-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1050-gl503vd-fy254t-gaming-laptop/p/itmf3s32fzfv7gbg?pid=COMEZZBGRQDBNZ9T&lid=LSTCOMEZZBGRQDBNZ9TYPM3RZ&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=6939a9ae-b571-4f89-ae96-42186243a119.COMEZZBGRQDBNZ9T.SEARCH&ssid=g76m2aglds0000001592381521182&qH=21cb4bef2f76b785,"['Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)', 'NVIDIA Geforce GTX 1050 for Desktop Level Performance', '128 GB SSD for Reduced Boot Up Time and in Game Loading', 'Intel Core i7 Processor (7th Gen)', '8 GB DDR4 RAM', '64 bit Windows 10 Operating System', '1 TB HDD|128 GB SSD', '39.62 cm (15.6 inch) Display', '2 Years Onsite Warranty']","₹92,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4
