itemName,brand,itemUrl,price,imageUrl
Combo(B)-1032-771 Loafers For Men,Bersache,https://www.flipkart.com//bersache-combo-b-1032-771-loafers-men/p/itmf9ay6b3z9wwrp?pid=SHOF99XQ8YRHEJJR&lid=LSTSHOF99XQ8YRHEJJRIMBPUB&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_kexKDZ4G3UmDVLcj5odS3c1wWpdVkHmKVuIzv8wrb%2FWglC4Tmjp4YGBDC2A0SLaN8eK%2F4h%2FfW6UGOjUj9%2FXQ8Q%3D%3D&ssid=3eqn58l79c0000001592390369573&qH=a60ba1a7a56c9e00,₹474,https://rukminim1.flixcart.com/image/309/371/jmgmmq80/shoe/4/r/f/combo-s-1032-771-6-super-matteress-multicolor-original-imaf99srevfag5mn.jpeg?q=50
Combo(BR)-1077-349 Sneakers For Men,Bersache,https://www.flipkart.com//bersache-combo-br-1077-349-sneakers-men/p/itmfaeyj2whyzez4?pid=SHOFAETEZD72GTHX&lid=LSTSHOFAETEZD72GTHXVH1DAD&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_kexKDZ4G3UmDVLcj5odS3c1wWpdVkHmKVuIzv8wrb%2FV0AMsvblY2CBYfY9Whi%2BloqyIBosRLjChNTnFFI%2BjWXA%3D%3D&ssid=3eqn58l79c0000001592390369573&qH=a60ba1a7a56c9e00,₹349,https://rukminim1.flixcart.com/image/309/371/k3khevk0/shoe/h/r/2/combo-br-1077-349-6-bersache-multicolor-original-imafmntrt8fzqrja.jpeg?q=50
Running Shoes For Men,MILESWALKER,https://www.flipkart.com//mileswalker-running-shoes-men/p/itm62b332399706c?pid=SHOFNKBHGVP8TQ4V&lid=LSTSHOFNKBHGVP8TQ4VQ9PJKE&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=9fb17168-932a-416e-9080-acbc0fef979e.SHOFNKBHGVP8TQ4V.SEARCH&ssid=3eqn58l79c0000001592390369573&qH=a60ba1a7a56c9e00,₹379,https://rukminim1.flixcart.com/image/309/371/k5msb680/shoe/a/y/z/dg-335-black-fashion-6-digitrendzz-black-original-imafnkzz2yrgkwcy.jpeg?q=50
"Walking Shoes,Training Shoes, Gym Shoes,Sports Shoes, C...",Adza,https://www.flipkart.com//adza-walking-shoes-training-shoes-gym-shoes-sports-cricket-running-shoes-men/p/itm27eb05f2545fb?pid=SHOFZGTFK3YB4CA2&lid=LSTSHOFZGTFK3YB4CA2PUGLOY&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=9fb17168-932a-416e-9080-acbc0fef979e.SHOFZGTFK3YB4CA2.SEARCH&ssid=3eqn58l79c0000001592390369573&qH=a60ba1a7a56c9e00,₹359,https://rukminim1.flixcart.com/image/309/371/k65d18w0pkrrdj/shoe/y/v/d/7-gyzjznpbyt-putthi-original-imafzj2wejpaqgmg.jpeg?q=50
Combo Pack of 2 Latest Collection Stylish casual Sports...,Axter,https://www.flipkart.com//axter-combo-pack-2-latest-collection-stylish-casual-sports-running-shoes-men/p/itmf6c8f1743a08f?pid=SHOFZRG8VSRNWUNP&lid=LSTSHOFZRG8VSRNWUNPZLWY2N&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=9fb17168-932a-416e-9080-acbc0fef979e.SHOFZRG8VSRNWUNP.SEARCH&ssid=3eqn58l79c0000001592390369573&qH=a60ba1a7a56c9e00,₹478,https://rukminim1.flixcart.com/image/309/371/k6fd47k0pkrrdj/shoe/g/a/b/7-rfaogvszji-world-wear-footwear-original-imafzrksqbf3yj3m.jpeg?q=50
Running Shoes For Men,Layasa,https://www.flipkart.com//layasa-running-shoes-men/p/itme9c43895059e4?pid=SHOFPZ3DFNN4RSMY&lid=LSTSHOFPZ3DFNN4RSMY4XY6OU&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=9fb17168-932a-416e-9080-acbc0fef979e.SHOFPZ3DFNN4RSMY.SEARCH&ssid=3eqn58l79c0000001592390369573&qH=a60ba1a7a56c9e00,₹474,https://rukminim1.flixcart.com/image/309/371/k7usyvk0/shoe/d/t/w/la5048-10-layasa-yellow-original-imafpzgatgghcwrx.jpeg?q=50
445 Sports Running Shoes For Men,Chevit,https://www.flipkart.com//chevit-445-sports-running-shoes-men/p/itmffmp4xhnzcbdt?pid=SHOFBEHWPC2REQCV&lid=LSTSHOFBEHWPC2REQCVVOSMRG&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=9fb17168-932a-416e-9080-acbc0fef979e.SHOFBEHWPC2REQCV.SEARCH&ssid=3eqn58l79c0000001592390369573&qH=a60ba1a7a56c9e00,₹389,https://rukminim1.flixcart.com/image/309/371/jubjte80/shoe/p/p/r/cb-414-445-10-pexlo-brown-blue-original-imafbhahzpuhwxee.jpeg?q=50
Running Shoes For Men,Aadi,https://www.flipkart.com//aadi-running-shoes-men/p/itmb74051d22168f?pid=SHOFMYV96FT5GTPF&lid=LSTSHOFMYV96FT5GTPFZPZYNR&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=9fb17168-932a-416e-9080-acbc0fef979e.SHOFMYV96FT5GTPF.SEARCH&ssid=3eqn58l79c0000001592390369573&qH=a60ba1a7a56c9e00,₹426,https://rukminim1.flixcart.com/image/309/371/k3lwuq80/shoe/z/v/h/mrj1324-10-aadi-black-original-imafmzfctw5gfxhu.jpeg?q=50
WNDR-13 Running Shoes For Men,Asian,https://www.flipkart.com//asian-wndr-13-running-shoes-men/p/itmff96xgyjjf3fx?pid=SHOF3KF5JV3PDQHW&lid=LSTSHOF3KF5JV3PDQHW3ZSMEL&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=9fb17168-932a-416e-9080-acbc0fef979e.SHOF3KF5JV3PDQHW.SEARCH&ssid=3eqn58l79c0000001592390369573&qH=a60ba1a7a56c9e00,₹474,https://rukminim1.flixcart.com/image/309/371/jur9nrk0/shoe/k/b/a/wonder-1313-7-asian-grey-orange-original-imaffbmzjc5hmagy.jpeg?q=50
Cosco Running Shoes For Men,Asian,https://www.flipkart.com//asian-cosco-running-shoes-men/p/itmfe37fzu48vnye?pid=SHOF78HRABGHBA4K&lid=LSTSHOF78HRABGHBA4KG3DSFI&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=9fb17168-932a-416e-9080-acbc0fef979e.SHOF78HRABGHBA4K.SEARCH&ssid=3eqn58l79c0000001592390369573&qH=a60ba1a7a56c9e00,₹616,https://rukminim1.flixcart.com/image/309/371/jwnusnk0/shoe/r/p/h/coscocnblue-11-asian-blue-original-imafhazbzxxhg6fz.jpeg?q=50
