itemName,itemUrl,specifications,price,imageUrl,rating
Acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Window...,https://www.flipkart.com//acer-aspire-7-core-i5-9th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-a715-75g-50sa-gaming-laptop/p/itmff1cbf710ce62?pid=COMFR6AANWZVZM8Y&lid=LSTCOMFR6AANWZVZM8YICAJ6Z&marketplace=FLIPKART&spotlightTagId=BestsellerId_6bo&srno=s_1_1&otracker=search&otracker1=search&iid=23f0b3df-71e7-4737-8f22-0c0251375a1e.COMFR6AANWZVZM8Y.SEARCH&ppt=sp&ppn=sp&ssid=ftgzgat6n40000001592381337236&qH=e4721cdedd884fee,"['15.6 inch', 'Charcoal Black', '2.15 kg']","₹54,990",https://rukminim1.flixcart.com/image/612/612/kamtsi80/computer/m/8/y/acer-na-gaming-laptop-original-imafs5prytwgrcyf.jpeg?q=70,4.6
Acer Swift 3 Core i5 8th Gen - (8 GB/512 GB SSD/Windows...,https://www.flipkart.com//acer-swift-3-core-i5-8th-gen-8-gb-512-gb-ssd-windows-10-home-2-graphics-sf314-55g-thin-light-laptop/p/itmfhkkhgg2yvgzy?pid=COMFHKKHVGHUBYHW&lid=LSTCOMFHKKHVGHUBYHWECG2A3&marketplace=FLIPKART&spotlightTagId=BestvalueId_6bo&srno=s_1_2&otracker=search&otracker1=search&iid=23f0b3df-71e7-4737-8f22-0c0251375a1e.COMFHKKHVGHUBYHW.SEARCH&ppt=sp&ppn=sp&ssid=ftgzgat6n40000001592381337236&qH=e4721cdedd884fee,"['14 inch', 'Sparkly Silver', '1.35 kg']","₹47,990",https://rukminim1.flixcart.com/image/612/612/k33c4nk0pkrrdj/computer/y/h/k/acer-na-thin-and-light-laptop-original-imafhnvjheyngmvq.jpeg?q=70,4.5
Acer Aspire 5 Core i3 8th Gen - (4 GB/512 GB SSD/Window...,https://www.flipkart.com//acer-aspire-5-core-i3-8th-gen-4-gb-512-gb-ssd-windows-10-home-a515-54-thin-light-laptop/p/itmb9f8950eec472?pid=COMFRWT5ZTFRDBGB&lid=LSTCOMFRWT5ZTFRDBGBGCRI89&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=23f0b3df-71e7-4737-8f22-0c0251375a1e.COMFRWT5ZTFRDBGB.SEARCH&ssid=1c0z2j9fkg0000001592381305760&qH=e4721cdedd884fee,"['15.6 inch', 'Silver', '1.8 kg', 'With MS Office']","₹35,990",https://rukminim1.flixcart.com/image/612/612/k98tdow0/computer/u/5/v/acer-na-original-imafr2muezaqveds.jpeg?q=70,4.6
Acer Predator Helios 300 Core i5 9th Gen - (16 GB/1 TB ...,https://www.flipkart.com//acer-predator-helios-300-core-i5-9th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-gtx-1660-ti-ph317-53-57mw-gaming-laptop/p/itm9d25865a302b9?pid=COMFJZ92TFHSRZWZ&lid=LSTCOMFJZ92TFHSRZWZHMG9FN&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=23f0b3df-71e7-4737-8f22-0c0251375a1e.COMFJZ92TFHSRZWZ.SEARCH&ssid=1c0z2j9fkg0000001592381305760&qH=e4721cdedd884fee,"['17.3 inch', 'Abyssal Black', '2.93 kg']","₹89,990",https://rukminim1.flixcart.com/image/612/612/k3xcdjk0/computer/a/4/v/acer-na-gaming-laptop-original-imafmy4wdhs4gnyg.jpeg?q=70,4.9
Acer Predator Helios 300 Core i7 9th Gen - (16 GB/1 TB ...,https://www.flipkart.com//acer-predator-helios-300-core-i7-9th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-rtx-2060-ph315-52-74dx-gaming-laptop/p/itm887e3873e143c?pid=COMFHNY8NUTBD3C7&lid=LSTCOMFHNY8NUTBD3C7A12RW1&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=23f0b3df-71e7-4737-8f22-0c0251375a1e.COMFHNY8NUTBD3C7.SEARCH&ssid=1c0z2j9fkg0000001592381305760&qH=e4721cdedd884fee,"['15.6 inch', 'Abyssal Black']","₹1,09,990",https://rukminim1.flixcart.com/image/612/612/jykfxjk0/computer/3/c/7/acer-na-gaming-laptop-original-imafgs3cfshn4dhn.jpeg?q=70,4.7
Acer Helios 300 Core i7 9th Gen - (16 GB/2 TB HDD/256 G...,https://www.flipkart.com//acer-helios-300-core-i7-9th-gen-16-gb-2-tb-hdd-256-gb-ssd-windows-10-home-8-graphics-nvidia-geforce-rtx-2070-ph317-53-74r7-ph317-53-71v3-gaming-laptop/p/itm8d3f59b77e1c3?pid=COMFHNY8FVYKCDP4&lid=LSTCOMFHNY8FVYKCDP46RPGLH&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=23f0b3df-71e7-4737-8f22-0c0251375a1e.COMFHNY8FVYKCDP4.SEARCH&ssid=1c0z2j9fkg0000001592381305760&qH=e4721cdedd884fee,"['17.3 inch', 'Abyssal Black']","₹1,39,990",https://rukminim1.flixcart.com/image/612/612/jykfxjk0/computer/x/f/y/acer-na-gaming-laptop-original-imafgs3cgwg37mmb.jpeg?q=70,4.8
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows...,https://www.flipkart.com//acer-nitro-5-ryzen-quad-core-8-gb-1-tb-hdd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-an515-43-r3ju-gaming-laptop/p/itm1b19c5f40d987?pid=COMFZX8YTTNPUBAR&lid=LSTCOMFZX8YTTNPUBAR5MVRI8&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=23f0b3df-71e7-4737-8f22-0c0251375a1e.COMFZX8YTTNPUBAR.SEARCH&ssid=1c0z2j9fkg0000001592381305760&qH=e4721cdedd884fee,"['15.6 inch', 'Obsidian Black', '2.3 kg']","₹52,990",https://rukminim1.flixcart.com/image/612/612/k7285u80/computer/x/w/m/acer-original-imafpdyeeyndtnn3.jpeg?q=70,4.4
Acer Nitro 5 Core i7 9th Gen - (8 GB/1 TB HDD/256 GB SS...,https://www.flipkart.com//acer-nitro-5-core-i7-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-an515-54-742f-an515-54-76nb-gaming-laptop/p/itm89c6770573582?pid=COMFHNY8BHYY9JKK&lid=LSTCOMFHNY8BHYY9JKKJNZ2PE&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=23f0b3df-71e7-4737-8f22-0c0251375a1e.COMFHNY8BHYY9JKK.SEARCH&ssid=1c0z2j9fkg0000001592381305760&qH=e4721cdedd884fee,"['15.6 inch', 'Obsidian Black', '2.3 kg']","₹72,990",https://rukminim1.flixcart.com/image/612/612/k3dc7m80pkrrdj/computer-refurbished/p/2/b/windows-10-home-9th-gen-nh-q59si-014-nh-q59si-023-d-8-gb-core-i5-original-imafhz48hp9dbtd3.jpeg?q=70,4.6
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows...,https://www.flipkart.com//acer-nitro-5-ryzen-quad-core-8-gb-1-tb-hdd-windows-10-home-4-gb-graphics-amd-radeon-rx-560x-an515-43-gaming-laptop/p/itmfgnhgs9tjsfzf?pid=COMFGNHG2CKKGH7Z&lid=LSTCOMFGNHG2CKKGH7ZOCOE0A&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=23f0b3df-71e7-4737-8f22-0c0251375a1e.COMFGNHG2CKKGH7Z.SEARCH&ssid=1c0z2j9fkg0000001592381305760&qH=e4721cdedd884fee,"['15.6 inch', 'Obsidian Black', '2.3 kg']","₹49,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.4
Acer Swift 3 Core i3 8th Gen - (4 GB/256 GB SSD/Windows...,https://www.flipkart.com//acer-swift-3-core-i3-8th-gen-4-gb-256-gb-ssd-windows-10-home-sf313-51-30ep-thin-light-laptop/p/itmffy9mb3tzydxh?pid=COMFFY9M5ZV3TRG7&lid=LSTCOMFFY9M5ZV3TRG7OFFETW&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=23f0b3df-71e7-4737-8f22-0c0251375a1e.COMFFY9M5ZV3TRG7.SEARCH&ssid=1c0z2j9fkg0000001592381305760&qH=e4721cdedd884fee,"['13.3 inch', 'Sparkly Silver', '1.3 kg']","₹45,990",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,4.6
